ts,kind,quality,best,qty_best,n_orders,total_qty,qty_within_5pct,median_age_h
2026-09-04T18:59:46Z,1,0,0.258,4481751,152,100907318,49672711,3.098
2026-09-04T18:59:46Z,1,1,0.264,6842490,24,18119757,18115693,20.883
2026-09-04T18:59:46Z,1,2,0.262,812242,67,180759450,169742327,12.929
2026-09-04T18:59:46Z,1,3,0.263,2438600,39,232145718,160908399,41.43
2026-09-04T18:59:46Z,1,4,0.263,500000,52,240564755,156097288,7.452
2026-09-04T18:59:46Z,1,5,0.264,429803,13,132393060,123218951,42.393
2026-09-04T18:59:46Z,1,6,0.264,118641,10,72667215,72667215,59.176
2026-09-04T18:59:46Z,1,7,0.265,11068660,9,72051940,69051940,75.856
2026-09-04T18:59:46Z,1,8,0.267,5539534,6,50172369,50172369,123.179
2026-09-04T18:59:46Z,1,9,0.268,10899227,5,32889352,27840177,74.387
2026-09-04T18:59:46Z,1,10,0.266,1530960,13,63748063,25681182,72.646
2026-09-04T18:59:46Z,1,11,0.268,6469396,8,59848372,25822838,121.493
2026-09-04T18:59:46Z,1,12,0.267,952839,19,169221896,135326401,86.11
2026-09-04T18:59:48Z,2,0,0.367,300630,136,33932779,18808216,1.085
2026-09-04T18:59:48Z,2,1,0.383,342179,14,2986632,2985812,11.174
2026-09-04T18:59:48Z,2,2,0.383,12429,38,74998406,55075847,10.279
2026-09-04T18:59:48Z,2,3,0.428,454924,5,22005494,17005494,4.702
2026-09-04T18:59:48Z,2,4,0.464,2240032,20,28545588,21415364,6.412
2026-09-04T18:59:48Z,2,5,0.482,10354441,12,31776966,31776966,133.449
2026-09-04T18:59:48Z,2,6,0.484,4040185,5,11421943,11421943,21.128
2026-09-04T18:59:48Z,2,7,0.5,1215737,3,15988817,9215737,22.291
2026-09-04T18:59:48Z,2,8,0.515,2300016,2,8749387,8749387,17.264
2026-09-04T18:59:48Z,2,9,0.52,5000000,1,5000000,5000000,2.084
2026-09-04T18:59:48Z,2,10,0.51,2938800,6,19425120,11567620,31.059
2026-09-04T18:59:48Z,2,11,0.585,1000000,3,10902251,10902251,23.123
2026-09-04T18:59:48Z,2,12,0.655,225275,6,1125275,825275,77.373
2026-09-04T18:59:50Z,3,0,2.15,20028,272,2298794,20905,1.768
2026-09-04T18:59:50Z,3,1,2.4,171056,27,1514583,451665,37.859
2026-09-04T18:59:50Z,3,2,2.45,353409,26,3496561,1421752,28.597
2026-09-04T18:59:50Z,3,3,2.9,3836,18,2581950,205943,40.688
2026-09-04T18:59:50Z,3,4,3.35,267434,11,2881538,1240180,76.562
2026-09-04T18:59:50Z,3,5,3.45,2407820,5,3204637,2407820,93.647
2026-09-04T18:59:50Z,3,6,3.45,1654899,3,3124571,1654899,41.265
2026-09-04T18:59:50Z,3,7,4.55,20400,2,210400,210400,76.761
2026-09-04T18:59:50Z,3,10,6.2,322598,1,322598,322598,161.807
2026-09-04T18:59:50Z,3,11,6.4,10000,3,23615,23615,147.656
2026-09-04T18:59:50Z,3,12,7.0,311180,1,311180,311180,161.801
2026-09-04T18:59:51Z,4,0,2.35,12261,95,910926,32666,2.672
2026-09-04T18:59:51Z,4,1,2.55,1753,8,557293,59657,16.762
2026-09-04T18:59:51Z,4,2,2.6,20000,12,676533,346224,12.239
2026-09-04T18:59:51Z,4,3,2.75,186086,10,2925061,355083,30.91
2026-09-04T18:59:51Z,4,4,3.1,479472,7,4311282,4131282,90.793
2026-09-04T18:59:51Z,4,5,3.1,120000,9,1781630,431547,85.347
2026-09-04T18:59:51Z,4,6,3.6,303151,2,703151,703151,5.731
2026-09-04T18:59:51Z,4,7,3.7,150000,3,719346,300000,97.799
2026-09-04T18:59:51Z,4,8,4.45,100000,3,115999,100000,162.216
2026-09-04T18:59:53Z,5,0,2.65,5418,78,1610667,10300,2.303
2026-09-04T18:59:53Z,5,1,2.85,785,10,354467,28923,8.651
2026-09-04T18:59:53Z,5,2,3.0,20720,7,563722,563722,56.496
2026-09-04T18:59:53Z,5,3,3.1,142133,5,917137,516763,98.365
2026-09-04T18:59:53Z,5,4,3.2,252488,8,1253819,566908,110.818
2026-09-04T18:59:53Z,5,5,3.3,7200,2,37200,7200,140.357
2026-09-04T18:59:53Z,5,6,4.95,99999,1,99999,99999,16.115
2026-09-04T18:59:53Z,5,7,5.0,999,1,999,999,16.117
2026-09-04T18:59:55Z,6,0,0.665,998,82,6053612,48173,14.829
2026-09-04T18:59:55Z,6,1,0.695,90147,15,2943833,2635734,15.318
2026-09-04T18:59:55Z,6,2,0.715,30000,12,3913870,3913870,68.435
2026-09-04T18:59:55Z,6,3,0.74,1648100,12,6722667,3753210,46.594
2026-09-04T18:59:55Z,6,4,0.86,155000,11,8845327,7987317,24.198
2026-09-04T18:59:55Z,6,5,0.98,2165907,3,9895148,9895148,12.724
2026-09-04T18:59:55Z,6,6,1.11,1575055,10,14205055,9204215,84.954
2026-09-04T18:59:55Z,6,7,1.1,99999,10,4178687,299999,53.757
2026-09-04T18:59:55Z,6,8,1.49,224485,4,4429519,4429519,70.981
2026-09-04T18:59:55Z,6,9,1.7,1750000,2,2070000,1750000,83.729
2026-09-04T18:59:55Z,6,10,1.75,900000,2,4500000,900000,77.078
2026-09-04T18:59:55Z,6,11,2.3,690000,1,690000,690000,82.838
2026-09-04T18:59:55Z,6,12,2.5,300000,1,300000,300000,82.845
2026-09-04T18:59:57Z,7,0,38.5,50,38,52182,3392,3.649
2026-09-04T18:59:57Z,7,1,39.75,212,13,50328,40770,54.751
2026-09-04T18:59:57Z,7,2,40.0,555,11,96445,51881,5.101
2026-09-04T18:59:57Z,7,3,40.75,13264,13,90997,86097,7.405
2026-09-04T18:59:57Z,7,4,46.25,82940,8,139011,138991,121.173
2026-09-04T18:59:57Z,7,5,47.0,50444,3,87776,50444,105.98
2026-09-04T18:59:57Z,7,6,55.5,19464,5,133148,133148,42.62
2026-09-04T18:59:57Z,7,7,60.0,24046,1,24046,24046,56.499
2026-09-04T18:59:57Z,7,8,62.0,12795,1,12795,12795,56.507
2026-09-04T18:59:57Z,7,10,70.0,16545,1,16545,16545,70.172
2026-09-04T18:59:57Z,7,11,90.0,24990,2,24990,24990,162.462
2026-09-04T18:59:58Z,8,0,11.0,6831,39,397282,206185,36.278
2026-09-04T18:59:58Z,8,1,11.2,30316,6,152332,152282,75.328
2026-09-04T18:59:58Z,8,2,11.1,2800,9,445143,443408,38.384
2026-09-04T18:59:58Z,8,3,11.3,1536,8,613931,283131,19.178
2026-09-04T18:59:58Z,8,4,11.6,38300,4,230300,230300,22.572
