heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T19,1,0,0.261,0.261,0.26,0.26,2,0,0,614531693
2026-09-03T19,2,0,0.368,0.368,0.366,0.366,2,0,0,78510877
2026-09-03T19,3,0,2.2,2.2,2.2,2.2,2,0,0,81846
2026-09-03T19,4,0,2.2,2.2,2.2,2.2,2,0,0,19987
2026-09-03T19,5,0,2.95,2.95,2.95,2.95,2,0,0,868014
2026-09-03T19,6,0,0.71,0.71,0.71,0.71,2,0,0,12172688
2026-09-03T19,7,0,39.5,39.5,39.5,39.5,2,0,0,116468
2026-09-03T19,8,0,10.5,10.5,10.5,10.5,2,0,0,55021
2026-09-03T19,9,0,1.17,1.17,1.17,1.17,2,0,0,1550441
2026-09-03T19,10,0,29.25,29.25,29.25,29.25,1,0,0,
2026-09-03T19,11,0,40.75,40.75,40.75,40.75,2,0,0,508229
2026-09-03T19,12,0,41.0,41.25,41.0,41.25,2,0,0,1540836
2026-09-03T19,13,0,0.365,0.366,0.365,0.366,2,0,0,151472308
2026-09-03T19,14,0,10.8,10.8,10.8,10.8,2,0,0,798768
2026-09-03T19,15,0,10.2,10.3,10.2,10.3,2,0,0,1156348
2026-09-03T19,16,0,9.0,9.0,9.0,9.0,2,0,0,2137689
2026-09-03T19,17,0,14.4,14.5,14.4,14.5,2,0,0,3925836
2026-09-03T19,18,0,20.0,20.25,20.0,20.25,2,0,0,528325
2026-09-03T19,19,0,11.2,11.2,11.1,11.1,2,0,0,312310
2026-09-03T19,20,0,111.0,112.0,111.0,112.0,2,0,0,122766
2026-09-03T19,21,0,55.5,55.5,55.5,55.5,1,0,0,
2026-09-03T19,22,0,87.0,87.0,87.0,87.0,1,0,0,
2026-09-03T19,23,0,129.0,129.0,129.0,129.0,1,0,0,
2026-09-03T19,24,0,615.0,615.0,610.0,610.0,2,0,0,5373
2026-09-03T19,25,0,755.0,755.0,755.0,755.0,2,0,0,38786
2026-09-03T19,26,0,1220.0,1220.0,1220.0,1220.0,2,0,0,32293
2026-09-03T19,27,0,575.0,575.0,575.0,575.0,2,0,0,12921
2026-09-03T19,28,0,960.0,960.0,960.0,960.0,2,0,0,2659
2026-09-03T19,29,0,99.5,99.5,99.5,99.5,2,0,0,386269
2026-09-03T19,30,0,155.0,157.0,155.0,157.0,2,0,0,259842
2026-09-03T19,31,0,204.0,204.0,202.0,202.0,2,0,0,446383
2026-09-03T19,32,0,212.0,212.0,212.0,212.0,2,0,0,201900
2026-09-03T19,33,0,113.0,113.0,113.0,113.0,2,0,0,213261
2026-09-03T19,34,0,92.5,92.5,92.5,92.5,1,0,0,
2026-09-03T19,35,0,86.5,86.5,86.5,86.5,1,0,0,
2026-09-03T19,40,0,1.4,1.4,1.4,1.4,1,0,0,
2026-09-03T19,41,0,4.55,4.8,4.55,4.8,2,0,0,2030283
2026-09-03T19,42,0,4.95,5.0,4.95,5.0,2,0,0,39862
2026-09-03T19,43,0,11.5,11.5,11.4,11.4,2,0,0,352884
2026-09-03T19,44,0,1.24,1.26,1.24,1.26,2,0,0,7936535
2026-09-03T19,45,0,16.1,16.1,15.9,15.9,2,0,0,360677
2026-09-03T19,46,0,27.25,27.25,27.0,27.0,2,0,0,66706
2026-09-03T19,47,0,430.0,430.0,430.0,430.0,2,0,0,18800
2026-09-03T19,48,0,222.0,222.0,222.0,222.0,2,0,0,106484
2026-09-03T19,49,0,950.0,950.0,950.0,950.0,2,0,0,5126
2026-09-03T19,50,0,336.0,336.0,336.0,336.0,2,0,0,24309
2026-09-03T19,51,0,790.0,790.0,790.0,790.0,1,0,0,
2026-09-03T19,52,0,610.0,610.0,610.0,610.0,1,0,0,
2026-09-03T19,53,0,3380.0,3380.0,3380.0,3380.0,1,0,0,
2026-09-03T19,54,0,6450.0,6450.0,6450.0,6450.0,2,0,0,1861
2026-09-03T19,55,0,2240.0,2240.0,2240.0,2240.0,2,0,0,3972
2026-09-03T19,56,0,4340.0,4340.0,4340.0,4340.0,2,0,0,14586
2026-09-03T19,57,0,5575.0,5575.0,5575.0,5575.0,2,0,0,6723
2026-09-03T19,58,0,126.0,126.0,126.0,126.0,2,0,0,232121
2026-09-03T19,59,0,65.0,65.0,65.0,65.0,2,0,0,878534
2026-09-03T19,60,0,5.5,5.5,5.5,5.5,2,0,0,10533
2026-09-03T19,61,0,18.8,18.8,18.8,18.8,2,0,0,41846
2026-09-03T19,62,0,22.25,22.25,22.25,22.25,2,0,0,272719
2026-09-03T19,63,0,32.5,32.5,32.5,32.5,2,0,0,17700
2026-09-03T19,64,0,45.25,45.25,45.25,45.25,1,0,0,
2026-09-03T19,65,0,13.2,13.2,13.2,13.2,1,0,0,
2026-09-03T19,66,0,0.28,0.28,0.278,0.278,2,0,0,9612362
2026-09-03T19,67,0,11.8,11.8,11.8,11.8,1,0,0,
2026-09-03T19,68,0,32.0,32.0,32.0,32.0,2,0,0,472669
2026-09-03T19,69,0,6475.0,6475.0,6475.0,6475.0,2,0,0,9409
2026-09-03T19,70,0,805.0,805.0,805.0,805.0,2,0,0,23806
2026-09-03T19,71,0,1540.0,1540.0,1540.0,1540.0,2,0,0,5907
2026-09-03T19,72,0,1.68,1.68,1.68,1.68,2,0,0,1238016
2026-09-03T19,73,0,26.5,26.5,26.5,26.5,2,0,0,428444
2026-09-03T19,74,0,20.0,20.0,19.9,19.9,2,0,0,60946
2026-09-03T19,75,0,6.2,6.3,6.2,6.3,2,0,0,1615435
2026-09-03T19,76,0,57.5,57.5,57.0,57.0,2,0,0,35712
2026-09-03T19,77,0,2680.0,2680.0,2680.0,2680.0,2,0,0,2058
2026-09-03T19,78,0,1840.0,1840.0,1840.0,1840.0,1,0,0,
2026-09-03T19,79,0,870.0,870.0,870.0,870.0,1,0,0,
2026-09-03T19,80,0,4450.0,4450.0,4450.0,4450.0,1,0,0,
2026-09-03T19,81,0,5175.0,5175.0,5175.0,5175.0,2,0,0,2708
2026-09-03T19,82,0,1500.0,1500.0,1500.0,1500.0,2,0,0,7382
2026-09-03T19,83,0,30.0,30.0,30.0,30.0,2,0,0,44440
2026-09-03T19,84,0,8950.0,8950.0,8950.0,8950.0,2,0,0,600
2026-09-03T19,85,0,7425.0,7425.0,7425.0,7425.0,2,0,0,102
2026-09-03T19,86,0,10000.0,10000.0,10000.0,10000.0,2,0,0,309
2026-09-03T19,87,0,484.0,484.0,484.0,484.0,2,0,0,2917
