ts,kind,price,is_up
2026-09-04T01:20:36Z,1,0.255,0
2026-09-04T01:20:36Z,125,25.25,0
2026-09-04T01:20:36Z,111,2590.0,0
2026-09-04T01:20:36Z,2,0.375,1
2026-09-04T01:20:36Z,66,0.272,0
2026-09-04T01:20:36Z,51,785.0,1
2026-09-04T01:20:36Z,24,615.0,0
2026-09-04T01:20:36Z,108,10.0,0
2026-09-04T01:20:36Z,13,0.363,1
2026-09-04T01:20:36Z,124,36.25,0
2026-09-04T01:20:36Z,10,29.0,0
2026-09-04T01:20:36Z,9,1.18,1
2026-09-04T01:20:36Z,42,5.3,1
2026-09-04T01:20:36Z,12,41.0,0
2026-09-04T01:20:36Z,106,4.45,1
2026-09-04T01:20:36Z,43,11.6,1
2026-09-04T01:20:36Z,77,2650.0,0
2026-09-04T01:20:36Z,17,14.5,1
2026-09-04T01:20:36Z,34,96.5,0
2026-09-04T01:20:36Z,115,125.0,0
2026-09-04T01:20:36Z,133,18.0,1
2026-09-04T01:20:36Z,113,131.0,1
2026-09-04T01:20:36Z,14,10.9,0
2026-09-04T01:20:36Z,117,7.0,0
2026-09-04T01:20:36Z,145,135.0,1
2026-09-04T01:20:36Z,45,13.0,0
2026-09-04T01:20:36Z,48,230.0,0
2026-09-04T01:20:36Z,11,41.0,1
2026-09-04T01:20:36Z,35,86.5,1
2026-09-04T01:20:36Z,72,1.69,1
2026-09-04T01:20:36Z,40,1.5,1
2026-09-04T01:20:36Z,8,10.8,0
2026-09-04T01:20:36Z,3,2.45,1
2026-09-04T01:20:36Z,52,605.0,0
2026-09-04T01:20:36Z,4,2.45,0
2026-09-04T01:20:36Z,135,17.8,1
2026-09-04T01:20:36Z,102,2.65,1
2026-09-04T01:20:36Z,33,108.0,0
2026-09-04T01:20:36Z,73,26.25,1
2026-09-04T01:20:36Z,15,9.5,0
2026-09-04T01:20:36Z,122,127.0,0
2026-09-04T01:20:36Z,69,6500.0,0
2026-09-04T01:20:36Z,23,127.0,0
2026-09-04T01:20:36Z,100,113.0,0
2026-09-04T01:20:36Z,103,6.7,0
2026-09-04T01:20:36Z,41,4.6,0
2026-09-04T01:20:36Z,19,11.0,0
2026-09-04T01:20:36Z,110,198.0,1
2026-09-04T01:20:36Z,60,6.4,0
2026-09-04T01:20:36Z,29,100.0,1
2026-09-04T01:20:36Z,46,27.0,0
2026-09-04T01:20:36Z,44,1.22,1
2026-09-04T01:20:36Z,101,199.0,1
2026-09-04T01:20:36Z,104,0.955,1
2026-09-04T01:20:36Z,79,855.0,0
2026-09-04T01:20:36Z,22,89.0,0
2026-09-04T01:20:36Z,105,1.57,0
2026-09-04T01:20:36Z,18,21.25,1
2026-09-04T01:20:36Z,25,765.0,1
2026-09-04T01:20:36Z,74,19.7,0
2026-09-04T01:20:36Z,21,59.0,0
2026-09-04T01:20:36Z,64,47.25,0
2026-09-04T01:20:36Z,140,260.0,0
2026-09-04T01:20:36Z,68,32.75,0
2026-09-04T01:20:36Z,107,21.25,0
2026-09-04T01:20:36Z,119,32.25,0
2026-09-04T01:20:36Z,136,1.37,0
2026-09-04T01:20:36Z,118,0.84,0
2026-09-04T01:20:36Z,7,39.5,0
2026-09-04T01:20:36Z,32,210.0,0
2026-09-04T01:20:36Z,20,115.0,1
2026-09-04T01:20:36Z,26,1200.0,0
2026-09-04T01:20:36Z,59,63.0,0
2026-09-04T01:20:36Z,76,59.0,0
2026-09-04T01:20:36Z,71,1530.0,1
2026-09-04T01:20:36Z,116,40.0,1
2026-09-04T01:20:36Z,137,126.0,1
2026-09-04T01:20:36Z,126,55.5,1
2026-09-04T01:20:36Z,109,109.0,0
2026-09-04T01:20:36Z,138,1220.0,0
2026-09-04T01:20:36Z,112,2220.0,1
2026-09-04T01:20:36Z,88,11000.0,1
2026-09-04T01:20:36Z,84,8975.0,1
2026-09-04T01:20:36Z,6,0.635,0
2026-09-04T01:20:36Z,30,156.0,0
2026-09-04T01:20:36Z,143,730.0,0
2026-09-04T01:20:36Z,31,200.0,0
2026-09-04T01:20:36Z,123,298.0,0
2026-09-04T01:20:36Z,58,126.0,0
2026-09-04T01:20:36Z,146,6.9,0
2026-09-04T01:20:36Z,16,8.8,0
2026-09-04T01:20:36Z,120,2.45,0
2026-09-04T01:20:36Z,150,382.0,0
2026-09-04T01:20:36Z,61,18.8,1
2026-09-04T01:20:36Z,98,855.0,0
2026-09-04T01:20:36Z,75,6.1,0
2026-09-04T01:20:36Z,70,795.0,0
2026-09-04T01:20:36Z,134,48.5,1
2026-09-04T01:20:36Z,129,2140.0,0
2026-09-04T01:20:36Z,149,730.0,1
2026-09-04T01:20:36Z,5,2.9,1
2026-09-04T01:20:36Z,141,36.0,0
2026-09-04T01:20:36Z,121,146.0,0
2026-09-04T01:20:36Z,63,33.75,1
2026-09-04T01:20:36Z,57,5500.0,0
2026-09-04T01:20:36Z,139,10.0,1
2026-09-04T01:20:36Z,114,640.0,0
2026-09-04T01:20:36Z,132,2200.0,1
2026-09-04T01:20:36Z,89,4410.0,0
2026-09-04T01:20:36Z,83,29.5,0
2026-09-04T01:20:36Z,142,780.0,1
2026-09-04T01:20:36Z,154,72.0,0
2026-09-04T01:20:36Z,49,950.0,0
2026-09-04T01:20:36Z,50,338.0,0
2026-09-04T01:20:36Z,54,6375.0,0
2026-09-04T01:20:36Z,56,4350.0,0
2026-09-04T01:20:36Z,127,478.0,0
2026-09-04T01:20:36Z,47,442.0,0
2026-09-04T01:20:36Z,128,54.5,0
2026-09-04T01:20:36Z,62,22.25,1
2026-09-04T01:20:36Z,27,565.0,0
2026-09-04T01:20:36Z,130,2060.0,1
2026-09-04T01:20:36Z,85,7400.0,0
2026-09-04T01:20:36Z,28,950.0,0
2026-09-04T01:20:36Z,147,39.75,1
2026-09-04T01:20:36Z,144,17.7,1
2026-09-04T01:20:36Z,55,2240.0,0
2026-09-04T01:20:36Z,148,33.25,1
2026-09-04T01:20:36Z,78,1850.0,1
2026-09-04T01:20:36Z,53,3390.0,1
2026-09-04T01:20:36Z,131,2400.0,1
2026-09-04T01:20:36Z,65,13.2,1
2026-09-04T01:20:36Z,153,69.0,0
2026-09-04T01:20:36Z,81,5175.0,1
2026-09-04T01:20:36Z,155,130.0,0
2026-09-04T01:20:36Z,151,232.0,0
2026-09-04T01:20:36Z,80,4450.0,1
2026-09-04T01:20:36Z,87,484.0,1
2026-09-04T01:20:36Z,82,1500.0,1
2026-09-04T01:20:36Z,86,10000.0,0
2026-09-04T01:20:36Z,152,234.0,1
2026-09-04T01:20:36Z,67,11.8,0
