kind,prix,saturation,restaurant
3,5.3492,1.498708,0
4,6.2065,1.467475,0
5,7.1861,1.473462,0
7,51.7618,1.49125,0
8,15.4581,1.339799,0
9,2.2716,1.532111,0
11,49.3172,0.835087,0
12,49.467,0.855602,0
24,866.9521,0.742761,0
25,1338.9414,0.884388,0
26,1622.564,0.728251,0
27,812.9843,0.679943,0
28,1237.0554,0.665023,0
53,4004.5224,0.681893,0
54,8285.8005,0.67172,0
55,2790.2627,0.591509,0
56,5976.0833,0.639524,0
57,6575.9737,0.54489,0
60,30.3361,1.141647,0
61,53.3222,1.21185,0
62,39.5927,1.235659,0
63,60.5876,1.303653,0
64,84.8344,1.351936,0
65,32.8442,0.910252,0
67,12.4,1.030121,0
70,1036.5824,0.926531,0
71,2060.8986,1.047754,0
98,1312.9822,0.724802,0
102,7.7108,0.951673,0
103,14.069,0.899215,0
108,13.8868,1.043308,0
109,127.5759,0.658752,0
110,212.2073,0.65428,0
117,0.0,0.1,13034972
119,45.8465,1.281943,3373402
120,6.54,0.1,0
121,0.0,0.1,242587
122,143.6299,1.227165,296432
123,345.8905,1.193962,98279
124,60.6394,1.370575,5870893
125,50.3497,1.540811,5573964
126,90.9954,1.297807,1541276
127,521.005,1.294307,0
129,0.0,0.1,29114
130,0.0,0.1,22261
131,0.0,0.1,4746
132,0.0,0.1,7714
134,0.0,0.1,604016
140,289.9717,1.21966,0
142,0.0,0.1,358002
143,0.0,0.1,420256
144,23.9424,0.877225,0
146,15.8918,0.997236,0
147,47.7676,0.953284,0
148,64.9963,1.700495,0
149,900.0,0.1,43841
151,235.3586,0.80967,0
152,206.8725,1.482804,0
153,89.1664,0.958929,0
154,92.646,1.047292,0
155,157.4992,0.580938,0
