heure,kind,ouverture,haut,bas,cloture,n_releves
2026-09-05T23,1,0.255,0.259,0.254,0.258,51
2026-09-05T23,2,0.366,0.371,0.365,0.368,51
2026-09-05T23,3,2.35,2.4,2.1,2.15,51
2026-09-05T23,4,2.35,2.35,2.25,2.25,51
2026-09-05T23,5,3.0,3.0,2.0,2.0,51
2026-09-05T23,6,0.695,0.695,0.69,0.695,51
2026-09-05T23,7,40.25,40.25,40.0,40.0,51
2026-09-05T23,8,11.1,11.1,10.8,11.1,51
2026-09-05T23,9,1.14,1.14,1.11,1.11,51
2026-09-05T23,10,29.0,29.5,28.25,29.5,51
2026-09-05T23,11,41.0,41.0,41.0,41.0,51
2026-09-05T23,12,40.25,40.75,40.0,40.5,51
2026-09-05T23,13,0.367,0.367,0.36,0.36,51
2026-09-05T23,14,11.2,11.2,11.1,11.2,51
2026-09-05T23,15,10.2,10.2,10.1,10.1,51
2026-09-05T23,16,8.7,8.7,8.4,8.7,51
2026-09-05T23,17,14.5,14.8,14.5,14.8,51
2026-09-05T23,18,19.9,20.5,19.8,19.9,51
2026-09-05T23,19,11.2,11.2,11.1,11.2,51
2026-09-05T23,20,110.0,110.0,109.0,109.0,51
2026-09-05T23,21,55.5,56.5,55.5,56.0,51
2026-09-05T23,22,88.5,90.0,87.5,90.0,51
2026-09-05T23,23,137.0,138.0,137.0,138.0,51
2026-09-05T23,24,620.0,640.0,620.0,640.0,51
2026-09-05T23,25,785.0,790.0,765.0,785.0,51
2026-09-05T23,26,1200.0,1200.0,1200.0,1200.0,51
2026-09-05T23,27,580.0,580.0,580.0,580.0,51
2026-09-05T23,28,975.0,975.0,975.0,975.0,51
2026-09-05T23,29,98.5,99.0,98.5,98.5,51
2026-09-05T23,30,157.0,157.0,157.0,157.0,51
2026-09-05T23,31,194.0,194.0,194.0,194.0,51
2026-09-05T23,32,212.0,212.0,212.0,212.0,51
2026-09-05T23,33,107.0,107.0,107.0,107.0,51
2026-09-05T23,34,91.5,92.0,91.5,92.0,51
2026-09-05T23,35,85.5,85.5,85.5,85.5,51
2026-09-05T23,40,1.47,1.47,1.45,1.45,51
2026-09-05T23,41,4.8,4.8,4.7,4.7,51
2026-09-05T23,42,5.3,5.3,5.2,5.2,51
2026-09-05T23,43,11.5,11.5,11.4,11.4,51
2026-09-05T23,44,1.25,1.25,1.24,1.24,51
2026-09-05T23,45,15.1,15.1,15.0,15.0,51
2026-09-05T23,46,27.0,28.0,26.5,28.0,51
2026-09-05T23,47,440.0,440.0,440.0,440.0,51
2026-09-05T23,48,232.0,232.0,232.0,232.0,51
2026-09-05T23,49,905.0,905.0,905.0,905.0,51
2026-09-05T23,50,326.0,326.0,326.0,326.0,51
2026-09-05T23,51,765.0,765.0,765.0,765.0,51
2026-09-05T23,52,615.0,615.0,615.0,615.0,51
2026-09-05T23,53,3410.0,3410.0,3410.0,3410.0,51
2026-09-05T23,54,6550.0,6550.0,6550.0,6550.0,51
2026-09-05T23,55,2270.0,2270.0,2270.0,2270.0,51
2026-09-05T23,56,4420.0,4430.0,4420.0,4430.0,51
2026-09-05T23,57,5600.0,5600.0,5600.0,5600.0,51
2026-09-05T23,58,122.0,122.0,122.0,122.0,51
2026-09-05T23,59,65.0,65.0,65.0,65.0,51
2026-09-05T23,60,6.7,6.7,6.6,6.6,51
2026-09-05T23,61,19.0,19.4,19.0,19.4,51
2026-09-05T23,62,21.5,21.75,21.5,21.75,51
2026-09-05T23,63,33.5,34.5,33.5,34.5,51
2026-09-05T23,64,46.5,46.5,46.5,46.5,51
2026-09-05T23,65,12.7,12.7,12.7,12.7,51
2026-09-05T23,66,0.289,0.289,0.287,0.288,51
2026-09-05T23,67,12.0,12.0,12.0,12.0,51
2026-09-05T23,68,32.5,32.75,32.25,32.25,51
2026-09-05T23,69,6175.0,6225.0,6150.0,6200.0,51
2026-09-05T23,70,815.0,815.0,815.0,815.0,51
2026-09-05T23,71,1550.0,1550.0,1550.0,1550.0,51
2026-09-05T23,72,1.69,1.69,1.68,1.68,51
2026-09-05T23,73,26.5,26.75,25.5,25.75,51
2026-09-05T23,74,19.6,19.6,19.6,19.6,51
2026-09-05T23,75,6.1,6.1,6.1,6.1,51
2026-09-05T23,76,59.0,59.0,59.0,59.0,51
2026-09-05T23,77,2820.0,2820.0,2800.0,2800.0,51
2026-09-05T23,78,1870.0,1870.0,1870.0,1870.0,51
2026-09-05T23,79,900.0,900.0,900.0,900.0,51
2026-09-05T23,80,4840.0,4840.0,4840.0,4840.0,51
2026-09-05T23,81,5275.0,5275.0,5275.0,5275.0,51
