heure,kind,quality,prix,vendu,disparu,n_evt
2026-09-05T23,1,0,0.254,0,89627,1
2026-09-05T23,1,0,0.255,0,2702023,4
2026-09-05T23,1,0,0.256,0,264858,2
2026-09-05T23,1,0,0.257,0,1067344,2
2026-09-05T23,1,0,0.258,0,382101,3
2026-09-05T23,1,0,0.259,80,79555,2
2026-09-05T23,1,0,0.26,10830,10141950,14
2026-09-05T23,1,1,0.257,1193680,0,1
2026-09-05T23,1,1,0.259,0,3101945,2
2026-09-05T23,1,1,0.261,0,916223,2
2026-09-05T23,1,1,0.262,459760,0,1
2026-09-05T23,1,2,0.26,882579,2456581,2
2026-09-05T23,1,2,0.261,0,15577457,3
2026-09-05T23,1,2,0.262,0,7121202,7
2026-09-05T23,1,2,0.263,0,3897850,4
2026-09-05T23,1,3,0.258,656418,0,1
2026-09-05T23,1,3,0.26,0,421051,1
2026-09-05T23,1,3,0.261,162798,321420,2
2026-09-05T23,1,3,0.262,0,441528,1
2026-09-05T23,1,3,0.263,0,4499384,3
2026-09-05T23,1,3,0.264,8392278,0,1
2026-09-05T23,1,4,0.263,450000,623877,2
2026-09-05T23,1,4,0.265,0,10734076,4
2026-09-05T23,1,5,0.263,0,4685933,1
2026-09-05T23,1,5,0.264,0,274986,1
2026-09-05T23,1,5,0.265,0,3995416,2
2026-09-05T23,1,5,0.266,1130691,5600623,3
2026-09-05T23,1,6,0.264,0,90071,1
2026-09-05T23,1,6,0.265,0,936477,1
2026-09-05T23,1,6,0.266,0,233114,1
2026-09-05T23,1,6,0.267,0,4923591,1
2026-09-05T23,1,7,0.265,0,4488600,1
2026-09-05T23,1,9,0.267,0,7236,1
2026-09-05T23,1,9,0.268,0,8630579,1
2026-09-05T23,1,10,0.268,0,6218020,2
2026-09-05T23,1,10,0.269,8000,919089,2
2026-09-05T23,1,11,0.27,0,3980257,1
2026-09-05T23,1,12,0.267,0,5905613,2
2026-09-05T23,1,12,0.268,0,3503882,1
2026-09-05T23,1,12,0.269,0,4000000,1
2026-09-05T23,1,12,0.27,0,1132995,1
2026-09-05T23,1,12,0.272,0,7020293,1
2026-09-05T23,2,0,0.366,0,505374,2
2026-09-05T23,2,0,0.367,0,143770,1
2026-09-05T23,2,0,0.368,0,189587,2
2026-09-05T23,2,0,0.369,0,731091,4
2026-09-05T23,2,0,0.37,0,4838934,4
2026-09-05T23,2,0,0.371,519610,290000,4
2026-09-05T23,2,0,0.372,0,54102,2
2026-09-05T23,2,0,0.373,0,3598768,4
2026-09-05T23,2,0,0.374,0,1288524,3
2026-09-05T23,2,0,0.375,0,293656,6
2026-09-05T23,2,0,0.376,85682,0,1
2026-09-05T23,2,1,0.381,212176,0,1
2026-09-05T23,2,1,0.388,0,130000,1
2026-09-05T23,2,1,0.389,226454,0,1
2026-09-05T23,2,2,0.382,335957,0,1
2026-09-05T23,2,2,0.386,0,80416,1
2026-09-05T23,2,2,0.388,0,1600776,1
2026-09-05T23,2,2,0.389,0,500000,1
2026-09-05T23,2,2,0.39,0,6113899,3
2026-09-05T23,2,2,0.391,800000,0,1
2026-09-05T23,2,3,0.406,185382,344995,2
2026-09-05T23,2,3,0.407,0,3107043,1
2026-09-05T23,2,3,0.408,0,3587971,2
2026-09-05T23,2,3,0.409,0,1485985,1
2026-09-05T23,2,3,0.41,0,1547596,2
2026-09-05T23,2,3,0.411,780063,985944,2
2026-09-05T23,2,4,0.437,0,765858,1
2026-09-05T23,2,4,0.438,0,352234,1
2026-09-05T23,2,5,0.471,38194,0,1
2026-09-05T23,2,6,0.499,538470,0,1
2026-09-05T23,2,7,0.505,228060,0,1
2026-09-05T23,2,8,0.515,63888,0,1
2026-09-05T23,2,10,0.55,240000,0,1
2026-09-05T23,2,11,0.58,0,3964865,1
2026-09-05T23,2,11,0.585,117360,0,1
2026-09-05T23,3,0,2.2,0,35,1
2026-09-05T23,3,0,2.3,0,8938,1
2026-09-05T23,3,0,2.35,0,16290,4
2026-09-05T23,3,0,2.4,0,123061,8
2026-09-05T23,3,0,2.45,0,366482,18
2026-09-05T23,3,1,2.35,0,49014,2
2026-09-05T23,3,1,2.4,0,58010,2
2026-09-05T23,3,1,2.45,0,80299,2
2026-09-05T23,3,2,2.35,0,64236,2
2026-09-05T23,3,2,2.4,0,11540,1
2026-09-05T23,3,2,2.45,0,236,1
2026-09-05T23,3,2,2.5,75000,0,1
2026-09-05T23,3,3,2.95,15920,0,1
2026-09-05T23,4,0,2.45,0,1669,2
2026-09-05T23,4,0,2.5,0,133,1
2026-09-05T23,4,4,3.0,0,9569,1
2026-09-05T23,4,5,3.05,75040,4960,2
2026-09-05T23,5,0,2.75,0,41200,1
2026-09-05T23,5,0,2.8,0,1237,1
2026-09-05T23,5,0,3.05,0,4631,1
2026-09-05T23,5,0,3.1,0,238,1
2026-09-05T23,5,1,3.1,0,4224,2
2026-09-05T23,5,2,3.15,30635,0,1
2026-09-05T23,6,0,0.695,74366,577571,3
2026-09-05T23,6,1,0.695,0,24583,1
2026-09-05T23,6,1,0.7,46979,0,1
2026-09-05T23,6,2,0.72,0,115531,1
2026-09-05T23,7,0,40.0,3,0,1
2026-09-05T23,7,0,40.25,0,254,1
2026-09-05T23,7,0,40.5,0,2032,2
2026-09-05T23,7,1,40.25,10,0,1
2026-09-05T23,7,3,40.75,0,729,1
2026-09-05T23,7,4,46.0,214,0,1
2026-09-05T23,8,0,10.9,0,516,2
2026-09-05T23,8,0,11.0,0,4691,2
2026-09-05T23,8,0,11.1,217,5493,4
2026-09-05T23,8,1,11.1,0,2875,1
2026-09-05T23,8,1,11.2,2000,0,1
2026-09-05T23,8,3,11.3,0,3621,1
2026-09-05T23,9,0,1.13,0,200,1
2026-09-05T23,9,0,1.17,0,6858,1
2026-09-05T23,9,0,1.18,5000,0,1
2026-09-05T23,9,1,1.18,1720,0,1
2026-09-05T23,9,2,1.26,7950,0,1
2026-09-05T23,10,0,28.75,0,2141,2
2026-09-05T23,10,0,29.0,0,32332,1
2026-09-05T23,10,0,29.25,13811,0,2
2026-09-05T23,10,1,28.75,0,9769,1
2026-09-05T23,10,1,29.0,0,8920,2
2026-09-05T23,10,1,29.25,0,4514,1
2026-09-05T23,10,1,29.5,25266,13289,4
2026-09-05T23,10,2,28.75,0,2123,1
2026-09-05T23,10,2,29.0,0,34734,1
2026-09-05T23,10,2,29.25,0,1041,1
2026-09-05T23,10,2,29.5,0,14220,3
2026-09-05T23,10,2,29.75,5290,183277,2
2026-09-05T23,10,3,30.0,0,98242,3
2026-09-05T23,10,4,30.0,0,145245,1
2026-09-05T23,10,5,30.25,4627,0,1
2026-09-05T23,10,6,30.25,84960,15040,2
2026-09-05T23,10,10,30.75,0,45748,1
2026-09-05T23,10,10,31.25,0,74655,1
2026-09-05T23,10,10,31.5,0,50000,1
2026-09-05T23,10,11,30.75,0,2915,1
2026-09-05T23,10,11,31.0,0,107348,1
2026-09-05T23,11,1,41.5,1010,0,1
2026-09-05T23,11,2,41.25,0,1663,1
2026-09-05T23,11,3,41.75,9688,0,1
2026-09-05T23,12,0,40.25,0,1880,1
2026-09-05T23,12,0,40.5,1748,252,2
2026-09-05T23,12,0,40.75,883,0,1
2026-09-05T23,12,0,41.0,0,7813,1
2026-09-05T23,12,0,41.25,10000,0,1
2026-09-05T23,12,1,40.75,0,900,1
2026-09-05T23,12,2,41.0,0,2581,1
2026-09-05T23,12,2,41.25,0,4375,3
2026-09-05T23,12,2,41.5,0,9176,3
2026-09-05T23,12,3,41.25,0,5174,1
2026-09-05T23,12,3,41.5,0,6620,1
2026-09-05T23,12,4,41.75,21561,55552,3
2026-09-05T23,13,0,0.362,0,7619,1
2026-09-05T23,13,0,0.363,504248,283030,4
2026-09-05T23,13,0,0.364,0,1573674,2
