kind,prix,sens,passage
1,0.259,baisse,2026-09-12T17:39:07Z
2,0.362,baisse,2026-09-12T17:39:07Z
3,2.35,hausse,2026-09-12T17:39:07Z
4,2.4,baisse,2026-09-12T17:39:07Z
5,2.9,baisse,2026-09-12T17:39:07Z
6,0.685,baisse,2026-09-12T17:39:07Z
7,38.75,hausse,2026-09-12T17:39:07Z
8,11.1,hausse,2026-09-12T17:39:07Z
9,1.24,hausse,2026-09-12T17:39:07Z
10,28.25,hausse,2026-09-12T17:39:07Z
11,38.5,hausse,2026-09-12T17:39:07Z
12,39.25,baisse,2026-09-12T17:39:07Z
13,0.365,hausse,2026-09-12T17:39:07Z
14,11.5,hausse,2026-09-12T17:39:07Z
15,10.4,hausse,2026-09-12T17:39:07Z
16,8.1,baisse,2026-09-12T17:39:07Z
17,15.0,hausse,2026-09-12T17:39:07Z
18,21.25,hausse,2026-09-12T17:39:07Z
19,11.2,baisse,2026-09-12T17:39:07Z
20,116.0,hausse,2026-09-12T17:39:07Z
21,57.5,baisse,2026-09-12T17:39:07Z
22,88.5,hausse,2026-09-12T17:39:07Z
23,120.0,baisse,2026-09-12T17:39:07Z
24,610.0,baisse,2026-09-12T17:39:07Z
25,765.0,hausse,2026-09-12T17:39:07Z
26,1170.0,hausse,2026-09-12T17:39:07Z
27,555.0,hausse,2026-09-12T17:39:07Z
28,935.0,baisse,2026-09-12T17:39:07Z
29,99.0,baisse,2026-09-12T17:39:07Z
30,156.0,hausse,2026-09-12T17:39:07Z
31,214.0,baisse,2026-09-12T17:39:07Z
32,202.0,hausse,2026-09-12T17:39:07Z
33,101.0,baisse,2026-09-12T17:39:07Z
34,85.0,baisse,2026-09-12T17:39:07Z
35,85.0,baisse,2026-09-12T17:39:07Z
40,1.55,baisse,2026-09-12T17:39:07Z
41,4.65,hausse,2026-09-12T17:39:07Z
42,5.4,baisse,2026-09-12T17:39:07Z
43,11.2,baisse,2026-09-12T17:39:07Z
44,1.26,hausse,2026-09-12T17:39:07Z
45,14.0,hausse,2026-09-12T17:39:07Z
46,26.5,baisse,2026-09-12T17:39:07Z
47,440.0,hausse,2026-09-12T17:39:07Z
48,226.0,baisse,2026-09-12T17:39:07Z
49,950.0,baisse,2026-09-12T17:39:07Z
50,316.0,baisse,2026-09-12T17:39:07Z
51,775.0,hausse,2026-09-12T17:39:07Z
52,585.0,baisse,2026-09-12T17:39:07Z
53,3200.0,baisse,2026-09-12T17:39:07Z
54,6175.0,baisse,2026-09-12T17:39:07Z
55,2270.0,baisse,2026-09-12T17:39:07Z
56,4240.0,baisse,2026-09-12T17:39:07Z
57,5275.0,hausse,2026-09-12T17:39:07Z
58,122.0,baisse,2026-09-12T17:39:07Z
59,63.0,baisse,2026-09-12T17:39:07Z
60,7.0,hausse,2026-09-12T17:39:07Z
61,19.1,hausse,2026-09-12T17:39:07Z
62,22.0,hausse,2026-09-12T17:39:07Z
63,35.75,hausse,2026-09-12T17:39:07Z
64,47.5,hausse,2026-09-12T17:39:07Z
65,13.0,baisse,2026-09-12T17:39:07Z
66,0.277,hausse,2026-09-12T17:39:07Z
67,11.8,hausse,2026-09-12T17:39:07Z
68,32.0,hausse,2026-09-12T17:39:07Z
